5000 9996
0 1 74
0 2 70
0 4 51
0 6 76
0 9 27
0 10 6
0 20 92
0 22 31
0 23 74
0 24 90
0 32 4
0 38 81
0 42 35
0 48 25
0 49 71
0 57 98
0 58 12
0 60 40
0 82 36
0 84 77
0 101 90
0 112 16
0 127 75
0 131 71
0 135 31
0 138 15
0 139 72
0 156 5
0 168 15
0 176 23
0 182 9
0 185 84
0 190 4
0 202 18
0 235 76
0 272 31
0 280 95
0 303 85
0 344 3
0 362 95
0 364 60
0 369 82
0 372 44
0 399 23
0 450 80
0 478 36
0 514 79
0 519 40
0 524 21
0 545 78
0 549 32
0 561 94
0 574 91
0 590 70
0 631 61
0 669 41
0 688 27
0 728 45
0 748 15
0 776 21
0 791 43
0 838 25
0 917 63
0 918 35
0 931 89
0 981 72
0 991 6
0 996 78
0 1020 64
0 1026 22
0 1050 10
0 1089 38
0 1092 56
0 1150 31
0 1193 87
0 1203 55
0 1208 29
0 1222 8
0 1261 39
0 1264 76
0 1385 66
0 1388 90
0 1461 10
0 1467 84
0 1485 73
0 1490 9
0 1757 82
0 1811 79
0 1814 56
0 1871 23
0 1876 52
0 1900 56
0 1935 70
0 1936 50
0 2028 38
0 2060 47
0 2220 12
0 2233 46
0 2239 33
0 2242 91
0 2298 24
0 2381 32
0 2397 81
0 2442 23
0 2472 32
0 2492 73
0 2537 15
0 2592 38
0 2629 41
0 2630 15
0 2670 46
0 2693 23
0 2764 15
0 2835 56
0 2846 83
0 2848 50
0 2888 36
0 2890 4
0 2912 81
0 2914 85
0 2991 99
0 3072 22
0 3131 53
0 3220 10
0 3268 40
0 3273 98
0 3305 96
0 3345 2
0 3379 29
0 3388 29
0 3422 67
0 3427 66
0 3527 85
0 3533 58
0 3692 99
0 3741 77
0 3758 4
0 3885 92
0 3935 77
0 3966 97
0 4025 92
0 4155 46
0 4225 44
0 4240 48
0 4263 46
0 4265 4
0 4310 53
0 4361 33
0 4399 58
0 4433 89
0 4511 79
0 4530 34
0 4560 7
0 4567 33
0 4571 25
0 4594 31
0 4612 89
0 4778 18
0 4780 6
0 4784 12
0 4841 90
0 4942 64
1 3 78
1 4 25
1 7 36
1 9 10
1 21 81
1 22 95
1 28 60
1 47 97
1 51 38
1 76 32
1 88 59
1 89 39
1 115 21
1 119 92
1 120 86
1 129 82
1 150 33
1 160 9
1 177 85
1 179 27
1 181 96
1 196 98
1 198 33
1 237 57
1 239 4
1 274 87
1 289 50
1 335 2
1 377 83
1 379 58
1 381 33
1 446 58
1 472 88
1 495 19
1 546 100
1 556 38
1 570 66
1 610 6
1 612 61
1 641 81
1 673 64
1 685 89
1 746 17
1 748 83
1 749 88
1 785 78
1 789 51
1 798 83
1 822 55
1 886 16
1 909 89
1 932 100
1 949 17
1 986 63
1 1022 43
1 1041 68
1 1059 99
1 1067 71
1 1136 90
1 1138 33
1 1269 74
1 1293 94
1 1317 62
1 1400 6
1 1411 11
1 1493 61
1 1604 79
1 1622 43
1 1654 45
1 1671 24
1 1745 92
1 1890 24
1 1950 8
1 2021 82
1 2031 100
1 2088 26
1 2130 51
1 2279 11
1 2395 9
1 2491 16
1 2565 33
1 2712 76
1 2787 71
1 2788 57
1 2977 44
1 3012 3
1 3102 16
1 3147 100
1 3284 65
1 3291 38
1 3292 88
1 3351 65
1 3448 100
1 3463 54
1 3522 9
1 3534 97
1 3604 38
1 3942 24
1 3945 92
1 4152 16
1 4160 90
1 4181 29
1 4466 8
1 4500 17
1 4554 19
1 4863 82
1 4933 39
2 3 49
2 5 43
2 8 28
2 18 57
2 26 79
2 27 30
2 30 5
2 35 12
2 159 99
2 215 25
2 275 39
2 320 4
2 390 100
2 427 86
2 655 43
2 675 48
2 691 39
2 827 34
2 913 30
2 929 58
2 1191 83
2 1551 50
2 1554 63
2 1645 68
2 1665 99
2 2030 95
2 2057 96
2 2146 70
2 2453 35
2 2564 18
2 2673 76
2 4283 4
2 4489 10
2 4877 63
3 14 67
3 44 27
3 107 27
3 173 51
3 191 71
3 387 17
3 431 93
3 453 96
3 456 91
3 525 10
3 626 46
3 757 65
3 1967 56
3 2003 23
3 2054 84
3 2135 56
3 2303 43
3 2427 93
3 2655 19
3 2704 92
3 2754 23
3 2860 65
3 3169 96
3 3823 51
3 3834 94
3 4142 12
3 4683 80
4 5 83
4 7 65
4 10 80
4 13 25
4 16 44
4 23 43
4 30 32
4 35 100
4 36 72
4 39 90
4 40 62
4 45 15
4 50 9
4 52 5
4 54 42
4 56 73
4 61 82
4 76 9
4 82 96
4 96 30
4 97 96
4 103 60
4 108 85
4 111 20
4 149 65
4 151 28
4 160 94
4 161 81
4 193 68
4 199 7
4 207 52
4 218 64
4 229 31
4 230 6
4 256 16
4 272 22
4 302 93
4 313 20
4 320 75
4 346 66
4 348 66
4 368 79
4 377 80
4 395 86
4 405 63
4 424 72
4 462 86
4 467 63
4 473 87
4 483 57
4 528 10
4 548 26
4 550 96
4 560 71
4 578 32
4 586 92
4 591 84
4 613 91
4 620 62
4 625 56
4 672 48
4 727 38
4 773 49
4 786 29
4 833 18
4 859 69
4 862 57
4 866 35
4 919 61
4 925 32
4 957 45
4 974 79
4 1015 12
4 1044 96
4 1101 53
4 1147 12
4 1165 48
4 1180 60
4 1209 60
4 1231 61
4 1261 18
4 1310 23
4 1321 68
4 1325 58
4 1345 56
4 1524 21
4 1556 57
4 1561 8
4 1626 9
4 1727 18
4 1739 63
4 1766 17
4 1849 42
4 1858 99
4 1909 78
4 1937 8
4 1957 63
4 1960 95
4 2050 75
4 2114 35
4 2119 46
4 2151 40
4 2193 13
4 2241 65
4 2244 59
4 2253 81
4 2315 37
4 2316 15
4 2334 89
4 2407 10
4 2456 76
4 2500 18
4 2502 99
4 2574 11
4 2637 30
4 2645 76
4 2662 39
4 2683 75
4 2706 83
4 2763 14
4 2837 7
4 2869 74
4 2913 80
4 2946 14
4 2969 13
4 3000 61
4 3052 7
4 3089 95
4 3237 40
4 3337 42
4 3407 46
4 3409 15
4 3459 21
4 3586 99
4 3616 16
4 3641 65
4 3753 30
4 3762 4
4 3833 52
4 3959 79
4 3971 61
4 3999 38
4 4102 36
4 4131 76
4 4144 69
4 4264 72
4 4360 72
4 4373 22
4 4450 51
4 4452 85
4 4490 84
4 4562 98
4 4575 74
4 4598 73
4 4610 91
4 4623 27
4 4731 92
4 4793 16
4 4818 5
4 4852 77
4 4923 47
4 4976 77
4 4984 99
4 4998 4
5 6 7
5 8 49
5 11 19
5 12 94
5 14 33
5 15 3
5 19 77
5 24 25
5 25 73
5 26 82
5 27 15
5 29 58
5 33 44
5 38 18
5 39 85
5 51 74
5 53 3
5 63 48
5 89 5
5 98 19
5 104 77
5 112 67
5 117 74
5 118 32
5 127 72
5 149 23
5 169 78
5 194 91
5 209 95
5 219 97
5 251 11
5 257 18
5 267 20
5 286 99
5 305 9
5 308 30
5 324 13
5 331 59
5 353 73
5 366 88
5 374 58
5 385 34
5 405 71
5 409 49
5 457 3
5 465 25
5 469 91
5 473 46
5 481 10
5 486 23
5 489 14
5 566 77
5 573 67
5 588 67
5 598 36
5 615 36
5 627 13
5 630 69
5 679 89
5 683 78
5 731 38
5 740 57
5 808 77
5 823 76
5 956 23
5 972 60
5 1012 36
5 1066 44
5 1121 56
5 1124 98
5 1175 30
5 1310 57
5 1312 65
5 1323 93
5 1331 55
5 1380 55
5 1433 33
5 1466 49
5 1537 26
5 1562 50
5 1593 12
5 1648 89
5 1694 60
5 1704 98
5 1820 19
5 1826 43
5 1935 57
5 2040 2
5 2051 97
5 2138 86
5 2187 4
5 2197 92
5 2211 95
5 2284 28
5 2301 46
5 2405 31
5 2417 55
5 2423 7
5 2431 19
5 2441 21
5 2443 24
5 2455 84
5 2481 99
5 2487 15
5 2489 55
5 2527 91
5 2556 74
5 2671 73
5 2799 47
5 2859 71
5 2901 87
5 3037 59
5 3068 69
5 3083 56
5 3235 5
5 3309 64
5 3327 12
5 3334 84
5 3401 89
5 3403 98
5 3421 60
5 3449 38
5 3462 75
5 3489 76
5 3716 9
5 3794 22
5 3956 30
5 4177 100
5 4470 66
5 4477 15
5 4480 98
5 4481 59
5 4532 51
5 4534 39
5 4635 61
5 4732 26
5 4741 90
6 45 100
6 67 57
6 88 4
6 165 33
6 168 14
6 205 42
6 231 92
6 315 29
6 437 55
6 531 20
6 596 79
6 1050 80
6 1103 3
6 1161 82
6 1300 38
6 1803 81
6 2002 11
6 2118 5
6 2287 58
6 2717 23
6 3014 51
6 3301 77
6 3888 49
6 4370 54
6 4671 68
6 4960 73
7 29 92
7 42 46
7 64 100
7 278 88
7 294 63
7 394 36
7 441 19
7 487 29
7 515 32
7 518 89
7 526 58
7 1048 28
7 1075 44
7 1157 100
7 1196 6
7 1219 47
7 1404 76
7 1487 87
7 1610 88
7 1681 33
7 2408 88
7 2568 48
7 3199 45
7 3981 1
7 4033 52
7 4051 73
7 4466 4
7 4966 98
8 25 63
8 34 27
8 43 77
8 86 88
8 163 99
8 189 98
8 249 30
8 323 46
8 428 76
8 625 30
8 821 10
8 1476 2
8 1724 25
8 1850 39
8 1856 86
8 2294 23
8 2521 54
8 2806 38
8 3595 48
8 3676 45
8 3859 53
8 4229 81
9 37 99
9 63 91
9 65 44
9 255 63
9 309 63
9 333 76
9 482 99
9 592 75
9 968 96
9 1004 67
9 1017 59
9 1112 35
9 1154 14
9 1181 36
9 1248 35
9 1698 48
9 1711 57
9 2493 3
9 2772 23
9 3289 85
9 3310 74
9 3387 42
9 3542 39
9 4019 19
9 4040 98
9 4159 3
9 4197 72
9 4284 100
9 4433 79
9 4911 83
9 4970 69
10 11 52
10 16 28
10 95 46
10 105 48
10 115 70
10 122 18
10 192 43
10 210 31
10 220 34
10 225 72
10 254 2
10 327 54
10 400 18
10 410 27
10 458 18
10 621 24
10 631 52
10 650 97
10 712 4
10 745 26
10 768 43
10 787 19
10 843 14
10 947 85
10 1054 100
10 1092 24
10 1220 28
10 1290 2
10 1355 89
10 1390 47
10 1429 96
10 1511 35
10 1586 49
10 1632 51
10 1655 60
10 1662 68
10 1731 56
10 1732 87
10 2063 69
10 2105 84
10 2190 51
10 2237 13
10 2244 72
10 2255 82
10 2354 67
10 2517 13
10 2519 96
10 2802 5
10 2811 24
10 2823 64
10 2910 62
10 2939 95
10 2961 82
10 2978 7
10 3057 31
10 3060 67
10 3063 89
10 3114 86
10 3168 25
10 3348 71
10 3399 17
10 3416 95
10 3684 82
10 3713 62
10 3814 1
10 3988 62
10 3996 81
10 4002 38
