500 998
0 1 5
1 2 14
1 141 19
2 3 77
3 4 56
4 5 45
5 6 94
6 7 41
7 8 56
7 135 69
7 282 53
7 369 19
8 9 78
9 10 66
9 185 40
10 11 15
10 494 42
11 12 50
11 424 85
12 13 74
13 14 25
13 46 30
14 15 33
14 163 13
15 16 6
16 17 91
16 118 37
16 353 48
17 18 56
18 19 1
18 150 26
18 316 9
19 20 67
19 338 44
20 21 69
21 22 88
21 223 3
21 372 46
22 23 93
22 180 70
22 372 85
22 405 26
23 24 95
23 166 8
24 25 95
24 122 54
24 443 84
25 26 86
26 27 26
26 404 81
26 495 37
27 28 47
27 202 65
28 3 27
28 29 56
29 30 9
29 188 37
30 31 86
30 300 72
31 32 43
31 245 52
32 33 80
32 243 58
33 34 41
33 64 36
34 35 85
34 46 11
34 240 57
34 488 68
35 36 16
36 30 22
36 37 93
37 38 39
37 460 11
38 39 65
38 80 1
38 343 82
39 40 40
39 261 82
39 330 12
40 41 86
41 42 53
41 139 57
41 191 29
41 298 85
41 306 6
42 43 42
42 390 21
43 44 52
44 45 90
45 46 38
45 161 33
46 47 71
46 339 28
46 484 29
47 48 17
47 115 15
47 221 13
47 330 86
48 49 25
48 160 55
49 50 54
49 120 69
50 51 86
50 351 48
50 389 82
51 52 49
51 269 59
52 40 42
52 53 87
52 74 33
53 54 96
53 295 65
53 439 21
54 55 23
54 121 49
55 56 79
55 345 30
56 57 73
56 397 37
57 58 39
58 59 52
58 271 66
59 60 71
60 61 1
61 3 64
61 62 39
62 63 37
62 210 46
63 64 27
63 232 48
63 239 89
64 65 56
64 257 76
64 379 54
64 402 73
65 66 75
66 67 78
66 194 69
66 276 33
66 304 91
67 7 46
67 46 38
67 68 84
67 305 49
67 474 37
68 69 42
69 70 60
69 198 59
70 19 37
70 71 57
70 79 10
71 23 5
71 72 57
72 73 87
72 379 82
72 469 45
73 74 28
73 118 60
74 75 66
75 76 61
75 425 56
76 77 95
77 78 22
77 253 5
77 490 8
78 79 85
78 83 24
78 389 98
79 80 11
80 81 37
81 82 66
81 159 71
82 83 85
83 84 82
84 85 80
85 86 43
86 87 12
87 88 97
87 89 11
87 410 80
88 89 31
89 90 87
89 102 17
89 135 7
89 425 100
90 91 40
91 92 29
92 93 26
92 486 28
93 94 19
94 95 4
95 96 6
96 97 32
97 98 61
97 471 77
98 99 79
99 100 99
99 463 100
100 101 10
101 88 78
101 102 59
101 196 62
102 103 54
103 104 81
104 105 74
104 136 71
105 35 98
105 106 25
106 107 92
107 108 90
108 79 85
108 109 50
109 110 64
110 111 52
110 416 30
111 112 32
111 227 57
112 113 19
112 202 77
112 325 25
113 114 84
113 331 9
114 115 89
115 116 1
115 331 20
115 397 67
116 117 97
117 118 99
118 119 14
119 120 100
119 273 31
119 438 100
120 121 55
120 323 88
121 122 29
121 154 16
122 88 71
122 123 23
122 292 50
123 124 90
123 367 19
124 125 67
124 223 76
125 126 60
126 127 7
126 362 57
127 128 72
128 129 32
128 233 39
129 130 16
129 370 85
129 382 3
130 131 59
130 148 42
130 341 2
131 110 20
131 132 18
132 133 60
133 134 86
134 135 68
134 299 49
135 136 72
136 14 24
136 137 77
136 410 11
136 420 1
137 138 41
138 139 97
139 110 97
139 140 57
139 212 62
139 230 66
139 359 98
140 141 79
141 97 16
141 142 93
142 143 65
142 293 29
143 144 55
144 145 71
144 371 39
144 398 49
145 146 58
146 147 21
146 182 100
147 148 96
148 58 52
148 149 61
149 150 58
149 219 1
149 260 91
150 151 34
150 183 48
150 232 65
151 152 97
151 358 38
151 432 13
152 153 32
152 440 76
153 154 82
153 462 4
154 155 36
154 484 28
155 156 99
155 252 15
155 358 52
156 157 100
157 158 67
158 159 63
158 471 44
158 494 61
158 495 84
159 160 81
159 369 42
160 161 31
160 340 33
161 77 57
161 162 36
162 163 57
163 164 10
164 165 92
164 311 19
165 59 99
165 166 37
165 309 33
165 442 81
166 167 31
167 168 35
167 382 54
167 468 79
168 48 72
168 169 43
168 210 89
168 396 19
169 139 16
169 170 41
169 445 13
170 164 86
170 171 70
170 398 22
171 172 11
171 405 19
172 173 18
173 174 20
173 319 89
173 347 77
173 416 83
173 498 24
174 80 48
174 175 30
174 478 65
174 485 99
175 176 50
176 123 94
176 170 71
176 177 89
177 178 20
178 179 91
179 3 24
179 180 28
179 432 72
180 181 9
181 182 54
182 183 53
182 403 9
183 31 51
183 184 43
184 185 70
185 186 60
186 187 54
187 46 51
187 188 8
188 58 98
188 189 27
188 347 74
188 473 67
189 190 54
189 343 96
190 191 50
190 469 37
191 120 50
191 192 99
191 488 20
192 193 75
192 214 59
193 194 90
194 195 3
194 230 57
195 196 98
195 305 68
196 197 74
196 236 75
197 198 49
197 339 84
198 199 62
198 209 100
199 200 1
200 201 46
201 202 39
202 140 2
202 203 97
202 445 40
203 204 50
203 332 11
203 417 70
203 441 95
204 205 54
204 212 94
205 206 69
205 268 11
206 207 96
206 442 66
207 186 66
207 208 95
208 209 70
209 210 78
209 230 89
209 445 84
210 22 41
210 186 87
210 211 29
211 27 25
211 173 59
211 212 63
212 213 29
213 214 35
214 215 56
214 300 96
215 216 63
216 217 4
216 260 47
216 444 93
217 58 70
217 218 50
218 85 89
218 219 44
218 351 14
219 156 73
219 220 86
219 293 52
220 56 37
220 74 32
220 221 87
220 231 30
220 308 24
221 222 52
222 223 93
223 224 22
223 432 14
224 225 60
224 268 67
224 450 90
225 226 17
225 236 99
225 458 50
226 227 80
226 389 7
226 483 45
227 85 89
227 179 58
227 228 69
228 229 4
228 275 62
228 308 92
229 230 51
229 315 1
229 348 73
230 52 44
230 231 76
231 232 73
232 233 85
233 234 4
233 477 42
234 32 15
234 235 11
235 236 83
235 425 89
235 471 10
236 231 5
236 237 55
236 484 16
237 238 18
238 239 60
239 240 24
240 178 53
240 241 7
240 400 34
241 12 80
241 124 59
241 242 34
242 129 5
242 243 49
243 244 42
244 245 28
245 246 59
245 323 24
246 114 14
246 247 42
247 248 44
248 62 4
248 98 29
248 249 98
249 250 49
249 446 70
250 251 36
251 252 97
251 364 57
252 237 97
252 253 54
253 147 85
253 254 33
254 255 11
254 354 64
254 426 37
254 467 75
255 256 61
255 477 92
256 257 3
257 113 79
257 258 96
257 270 54
258 259 70
259 37 40
259 260 7
259 394 70
260 261 45
260 382 18
261 262 29
262 58 45
262 263 84
263 264 9
264 265 100
265 185 80
265 266 84
265 333 57
266 154 59
266 267 6
267 268 97
268 269 4
268 499 47
269 58 96
269 270 32
270 271 26
271 210 73
271 256 35
271 272 3
272 273 80
273 274 20
274 275 31
275 276 17
276 252 57
276 277 61
277 278 86
278 259 65
278 279 15
278 461 83
279 80 10
279 150 42
279 280 73
280 281 28
280 364 42
280 481 94
281 18 59
281 282 60
282 74 50
282 283 90
283 10 50
283 106 76
283 284 33
283 478 14
283 488 95
284 285 99
285 13 78
285 286 48
286 192 83
286 287 22
286 426 86
287 168 86
287 288 78
288 289 78
288 389 75
289 290 96
289 442 88
290 291 92
291 292 15
292 183 74
292 213 24
292 293 100
293 294 21
294 295 40
295 20 98
295 296 14
296 186 94
296 297 75
297 298 4
298 299 40
299 223 82
299 300 74
300 153 82
300 301 87
300 486 3
301 165 3
301 302 49
301 338 26
302 28 46
302 303 51
303 55 58
303 249 68
303 304 92
304 240 38
304 305 26
305 43 7
305 274 3
305 306 10
306 307 76
307 159 46
307 308 89
308 309 81
309 220 13
309 243 65
309 310 32
310 226 54
310 311 14
310 410 46
311 270 55
311 312 90
312 81 47
312 145 97
312 313 99
312 445 49
313 314 39
314 180 31
314 222 36
314 304 65
314 315 88
314 345 83
315 208 36
315 316 77
316 25 87
316 317 16
317 30 79
317 128 87
317 318 73
317 349 31
318 319 6
319 320 45
319 324 75
319 414 22
320 108 34
320 321 69
321 49 81
321 322 55
322 323 85
323 155 36
323 263 74
323 324 48
324 325 9
325 198 48
325 326 65
325 421 60
326 130 59
326 327 83
328 327 77
327 405 8
327 406 80
328 246 48
328 329 2
329 325 80
329 330 54
329 493 4
330 20 40
330 88 6
330 331 63
331 171 9
331 332 14
331 426 20
332 209 15
332 333 56
333 96 42
333 334 47
334 335 82
335 38 23
335 50 63
335 336 59
336 205 9
336 321 14
336 337 91
337 250 20
337 338 20
337 348 18
338 41 21
338 151 40
338 217 63
338 339 56
338 443 4
339 340 23
340 341 94
340 342 11
341 157 6
341 342 67
342 343 84
343 344 35
343 359 95
344 345 79
344 383 87
345 203 72
345 346 69
346 347 100
347 197 37
347 348 62
348 349 60
349 350 56
349 405 24
350 237 90
350 351 94
350 467 68
351 119 34
351 352 76
351 472 61
352 353 35
353 354 42
354 355 32
355 356 12
356 357 36
356 425 18
356 484 70
357 339 51
357 358 58
358 359 32
359 360 97
360 117 65
360 361 60
360 446 13
361 144 90
361 362 73
362 363 79
363 327 54
363 364 86
364 365 49
364 433 67
365 43 65
365 366 44
366 367 4
366 397 59
367 368 64
367 454 98
368 121 57
368 369 42
369 224 6
369 370 24
369 443 28
370 371 63
371 372 28
372 79 54
372 217 11
372 373 46
373 374 34
374 375 44
375 376 36
376 377 77
377 378 90
378 379 36
379 380 72
380 381 2
381 173 29
381 242 91
381 378 48
381 382 67
382 46 56
382 220 23
382 271 28
382 383 25
382 445 44
383 384 11
383 401 58
383 422 73
384 385 31
385 331 25
385 386 93
386 369 99
386 387 53
386 494 29
387 89 61
387 170 18
387 255 81
387 388 63
388 361 61
388 389 72
389 390 98
390 278 49
390 391 31
391 344 35
391 392 89
392 70 98
392 393 61
393 394 83
394 395 92
395 297 95
395 396 63
395 404 54
396 397 58
397 398 3
397 409 30
397 482 73
398 185 66
398 381 7
398 399 12
399 400 38
400 401 29
401 402 52
402 170 32
402 276 47
402 403 89
403 225 5
404 403 31
403 405 81
403 461 77
404 405 40
405 157 77
405 168 17
405 406 85
406 359 15
406 407 75
407 408 48
408 89 15
408 409 61
409 122 91
409 188 56
409 410 71
410 309 18
410 383 87
410 411 68
411 58 60
411 412 45
412 181 10
412 413 55
413 219 72
413 414 96
414 415 71
415 66 72
415 69 9
415 416 43
416 251 12
416 417 46
417 75 31
417 418 90
418 230 45
418 419 59
419 420 35
420 421 40
421 326 48
421 422 33
422 0 85
422 423 30
423 424 16
424 425 93
425 84 33
425 354 99
425 426 25
426 427 41
427 378 68
427 428 16
428 300 75
428 429 96
428 463 64
429 365 84
429 430 69
430 431 98
431 432 89
432 433 24
433 434 25
434 435 28
435 63 37
435 436 95
436 168 87
436 335 84
436 437 62
437 438 36
438 439 93
439 273 49
439 440 76
440 232 10
440 346 93
440 441 98
441 160 74
441 442 68
442 35 36
442 443 77
443 444 37
444 445 13
445 73 73
445 96 90
445 277 60
445 446 25
446 128 7
446 447 38
447 76 43
447 240 6
447 340 97
447 432 57
447 448 30
448 392 80
448 449 47
449 393 71
449 450 23
450 451 39
451 452 2
452 453 91
452 482 72
453 21 41
453 454 69
454 455 17
455 204 96
455 221 95
455 456 36
456 457 6
457 458 7
458 21 58
458 459 71
459 460 38
460 411 60
460 461 90
461 147 87
461 462 17
462 427 25
462 463 82
463 40 3
463 464 97
464 465 63
465 136 19
465 358 39
465 414 74
465 466 14
466 310 96
466 467 2
467 415 49
467 422 62
467 468 74
468 469 37
469 142 24
469 424 61
469 470 61
470 185 12
470 471 62
471 147 57
471 472 57
472 473 44
473 474 24
474 475 7
475 336 89
475 476 33
476 13 54
476 477 62
477 158 66
477 478 15
478 479 9
479 480 52
480 43 40
480 481 63
481 482 10
482 139 65
482 483 74
483 205 98
483 484 81
484 485 88
485 390 27
485 434 59
485 486 7
486 120 47
486 487 20
487 395 81
487 488 20
488 162 81
488 489 73
489 490 39
490 419 83
490 491 11
491 378 13
491 492 32
492 217 89
492 345 74
492 493 16
493 38 19
493 464 78
493 494 72
494 82 26
494 495 98
495 412 38
495 496 54
496 79 10
496 497 78
497 10 7
497 15 12
497 498 77
498 322 78
498 392 80
498 499 80
